status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	100	120	600	0.828	4.033	5.968	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.612	3.572	6.911	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	43	104	61	0	0	104	256	256	7	64	
success	500	120	600	0.917	3.825	5.779	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.719	3.629	5.526	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	218	504	286	0	0	504	512	512	7	64	
success	1000	120	600	0.932	3.646	5.273	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.945	3.581	5.532	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	455	1004	549	0	0	1004	1024	1024	7	64	
success	2000	120	600	1.145	3.480	5.814	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2048	2048	7	64	
success	2000	120	600	1.186	3.417	5.707	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	918	2004	1086	0	0	2004	2048	2048	7	64	
success	100	120	600	0.737	3.716	5.585	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	256	256	7	64	
success	100	120	600	0.777	3.886	5.093	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	44	104	60	0	0	104	256	256	7	64	
success	500	120	600	0.892	3.759	6.118	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	512	512	7	64	
success	500	120	600	0.792	3.718	5.606	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	218	504	286	0	0	504	512	512	7	64	
success	1000	120	600	1.028	3.936	5.427	off	4x	off	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	1024	1024	7	64	
success	1000	120	600	0.977	3.814	5.366	off	4x	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	455	1004	549	0	0	1004	1024	1024	7	64	
