status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	100	120	600	0.182	0.358	1.617	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	209	212	104	104	0	0	0	104	104	256	256	7	64	
success	100	120	600	0.182	0.380	1.770	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.183	0.376	1.843	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
success	100	120	600	0.187	0.364	1.781	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	39	104	65	0	0	104	5	256	256	7	64	
success	100	120	600	0.182	0.397	1.657	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	209	212	104	104	0	0	0	104	104	256	256	7	64	
success	100	120	600	0.181	0.486	1.717	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.183	0.367	1.649	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
success	100	120	600	0.189	0.338	1.617	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	39	104	65	0	0	104	5	256	256	7	64	
success	100	120	600	0.182	0.432	1.576	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	209	212	104	104	0	0	0	104	104	256	256	7	64	
success	100	120	600	0.181	0.331	1.484	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	104	104	0	0	0	104	5	256	256	7	64	
success	100	120	600	0.183	0.348	1.568	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	144	147	39	104	65	0	0	104	104	256	256	7	64	
