status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	2000	120	600	0.541	0.814	1.349	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.561	0.697	1.170	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.564	0.700	1.286	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2832	2835	827	2004	1177	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.700	0.817	1.513	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	838	2004	1166	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.556	1.028	1.551	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.575	0.996	4.269	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.573	0.833	17.635	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2849	2852	844	2004	1160	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.704	1.061	17.373	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	847	2004	1157	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.547	0.891	18.020	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.583	1.002	17.950	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.570	0.791	18.015	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2843	2846	838	2004	1166	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.702	0.926	17.355	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	847	2004	1157	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.543	0.870	17.949	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.576	0.961	17.921	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.596	1.223	3.017	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2843	2846	838	2004	1166	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.709	0.997	1.965	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	840	2004	1164	0	0	2004	2004	2048	2048	7	64	
success	2000	120	600	0.546	0.784	1.535	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.565	0.768	1.820	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	2004	2048	2048	7	64	
